client_id,ClientID
838,d34f9cab-5d14-469f-aa80-c0146f3b93c7
857,d9b374f9-8cec-4ae7-9137-c1d930d0aae0
451,72855e63-d98e-42e9-a10f-d9e4fac6e82f
245,3fcb2796-9692-4fcf-affb-0100d9a74ae1
313,50b21cc8-6f68-45c5-9b75-335ef55b41b2
72,1149c70b-e75d-4398-a784-ff40152810db
142,20dea61b-c087-482c-9a71-2def299ed020
244,3faa9f83-0a50-4657-96cc-401944b5708c
809,cd0594c6-c289-4fd6-92ad-495772743f5a
419,6bed1a9f-2ee0-402e-8907-9fad020e36f7
55,0c2cab59-6989-4832-aa97-84c398e67a5d
480,79eb32ae-12ca-4009-b8ec-b558d039caf8
29,073fdfca-a8df-4e28-ae42-460761586770
683,ae2fe7cd-0387-4e2b-abb6-9e6bce679b74
545,88dcb53d-58ba-4746-b942-91d07190a03c
678,ad388d2e-a57a-4a60-b1d1-4fd15d27b74c
129,1eedf4f2-9789-46f7-84ea-4329dc9ea314
940,ef5c5f75-5404-4191-800f-a2bc3dac7412
569,8ff58ece-b7ce-49fc-871d-be7f8ce6153b
295,4d9c9411-36aa-473d-8fee-308a0442f836
221,3aba6036-972f-4f80-a101-962b2c5cbd18
444,704ff9b0-05e2-4736-9018-810b5444a86c
562,8eb4f315-9cde-4c7b-9a26-669447dadd4b
204,379871e9-0b5e-4484-9250-103d06c0fb4a
341,5717143e-d6a4-4087-9360-9e0e9dfa1cb2
458,749a31d6-501c-4f88-91b6-9173bbf2f385
255,422d18c5-601c-438b-9cb7-d867811c46f0
494,7cc46636-a0d2-4dba-a382-c78cf6fdd85c
60,0d37a8b7-9d93-4380-ab53-0fa29805b746
58,0d284237-716e-4bc3-8c57-aeba0f5ce1cb
606,99f222df-6333-4160-8b47-ebddf0263b1e
869,dc5ed7fa-d003-4fe0-bf86-a4a2734771b8
121,1d2914a6-bd00-483d-ba2a-dfc01390e2b2
177,2e94f90e-11eb-4269-a340-6322cc7bb1d2
312,50994b1a-da3c-45ed-9ef1-63e11ce2e708
339,56cc76cb-ab9d-457f-999f-6c10a06586f9
326,5418c3dd-ebc2-484e-bcf7-d1dd4e5ff311
963,f82e0f8a-ff33-467a-9535-78ebdefbe487
498,7e619fb9-4901-49af-9c63-f6f0302ecc1a
563,8ec2227f-3cc9-4e62-a9c2-b38561baf3c3
515,823daf4c-1241-4f6d-b94e-b2d388aadde8
886,e13e0a16-8e44-4f54-b26c-e2751060b248
746,be3cfe27-76ed-4719-a1ae-ed52b6d99a25
752,c00eb067-ee27-4770-8e34-1747cfa7f0c8
948,f2b62be6-688a-4dd6-b273-a037b1de4287
646,a60b56ce-8473-4f7e-9f46-0bc90e60bdbf
973,fb1b0bc6-1934-4163-bcd0-e8e21a29753f
990,fe3c1b29-0d79-40e6-9204-adeeb72c09c0
127,1edd2555-ca1b-4031-bc32-bc1fb5ea10f5
44,097af542-98c6-41b3-92d1-4c67247903aa
215,39cb03cc-12f5-4905-96e6-9cc9dd5c341a
180,2f242b8b-db94-409e-83a0-a37ad497eaa5
846,d5990e05-9171-4788-bb0f-47440d4716a7
982,fc6d592b-248a-4fe8-9bc4-62d0042a48fb
267,4636f901-d666-4c58-b9cf-8e906f4d3750
263,44dcc88d-26f2-478b-8911-60a550dbc412
652,a7c9afa8-65c6-409f-9c56-a5e932ecb61f
822,d0312781-dd1a-441e-9014-31b36ce7003b
314,5121dfad-3a32-4d3a-8a78-1d7799fea78b
849,d5e496c4-2d86-42a9-9933-c2c7ddc264d5
988,fdca66e3-a74d-4212-89cb-7f092134cf30
733,bab9b7ed-319a-4680-86ea-c94320bd9184
759,c148da65-5ecd-42e2-91a8-11cf4389bf2f
536,86a63c99-de8a-4a29-b050-c4be3875f9e3
337,567936c5-0059-43fc-92c1-29e0f4779865
50,0bb5f02b-7ead-4efd-aeaf-7675fcf5d513
567,8fa9748c-89fb-4474-99cc-4eadf4af7189
291,4d1795a7-4b9b-4539-9a46-e4e05fbdb141
938,ef11ab8e-1cea-4cbb-90d6-fa01bcc3078e
259,4319740d-30aa-40d5-a7ab-690a4dc927b9
580,927a200d-9f25-480f-8f0a-e8528be0071c
213,394dc6ed-5838-4b2b-b421-63ee8cbcf333
540,87c56d0e-083c-4169-b776-82b0ef4aa2e0
912,e885c02c-bee9-40df-8da1-ec76a9510e86
614,9bffa1c0-2ed9-48c1-8903-0ae2ae360475
363,5e12a607-34eb-44e3-a79f-9ea48fa79ad3
166,2baab36b-5ab4-4062-a39e-511ed8274090
5,01642ae7-3c43-4d69-800e-f98a06df4bfd
676,acb4f0a3-b990-441f-9e49-976ffe730dca
335,55f15299-8363-4009-905c-ed0597e17746
402,69618f91-c7f3-4792-8f7e-955ca456f3d0
550,899550ca-450b-40eb-9e45-77580dff36b1
603,992a6868-b93d-462d-af3d-659a679b1764
306,50097f33-8f11-4d06-a489-f798cbae9577
332,55bcd8d4-b389-4f78-bacf-ae2ca5a1b44b
368,5ed4900d-3b25-4e13-8987-91fd7b17fc3e
682,ae1c561e-0388-4275-b156-460c3cfbb1a0
585,933d0042-3774-4282-87b5-76b12dc7fe2a
775,c721ac00-474f-437a-b69a-96e80e6f9c72
783,c88a243c-318b-4005-a8ca-8d290dfb2c85
393,65e4d56c-7ea2-4f08-98d0-a5c584e3c906
281,4a95fc38-cf7f-458a-8c4f-7834627073f8
301,4f950692-a56d-44ef-82fe-25267c2b5ca4
729,b9926d0e-0d42-43b8-a631-fa792b429293
99,1736e302-3117-49b7-94ae-41e5fa306c51
579,9232060b-8cad-41f8-ad88-a90065d1f7f2
780,c7a79434-85dd-4d7a-8ef0-dac2d0fd3d41
160,292d62e6-2ae3-4d40-9077-14cf277c6eaa
668,aab1f3c7-60f5-4998-995e-dafaa2eb5395
307,507b1c6d-7c62-421d-961b-057a66f166d7
557,8c4db733-52c0-41b0-b5c1-30c7ebff71ae
191,32c70cb1-4c0f-4170-a77c-165c784606da
162,2a445029-a8ab-44e4-acd4-d5cd39b11f53
636,a355bb60-66c1-4b48-a741-0d7791c76ebe
880,df490f6d-17a4-4472-8daf-61d65c079e90
686,aece13a6-a51e-48fd-8a05-d111664fe23c
96,167819ff-4378-4287-865e-2524d39bf2e1
181,2fda522d-bac9-4f0f-814f-8ce3891911b8
322,532f4bd7-9526-47f4-885c-e9258307c0ed
453,72e32a90-d57e-4dd4-86ce-790a46e8d4a7
790,ca33c5cd-00bf-4135-a272-69215ed4da76
530,85424868-26d7-4dbe-82bc-76f724a6e60e
372,5f4d85ef-9378-492a-a557-f1762ac5691f
176,2e8b5969-0157-4455-b748-a96e2924416a
830,d0e83f2c-edb3-4d82-b052-f63c2b352d60
937,eeadb895-7520-49d7-9e06-a83e991a47b3
547,892376b7-7f32-47d1-a1a1-e2aa4903a753
592,95e0b2c5-f7a0-4e67-bacf-7ca1a61fc254
344,5958ddf2-85fd-4495-8881-43d14af8881f
270,4702190d-5d30-4faf-8c84-5c0e3a01c5bd
695,b1865d23-f7db-4895-b2d4-bdf5a152178c
404,698d50cc-f1f2-4e98-afd3-7e298197eb3d
467,76ad52fe-f463-466b-89d1-ab91c00b0d40
893,e3164c40-18b8-46b1-8963-90d195dc9769
714,b647850b-558d-4e8e-8b61-0f59b4d7e82b
631,a1f2d93a-0d0a-4fbf-9ec4-b5b35a70661c
723,b8247f54-4a8a-4422-85cb-522032338bff
194,338d8b29-5dc9-4197-9d99-54abb7e0abdd
211,3930606b-0a64-4909-bba0-12c6e390b2b6
673,abac1b85-2843-405a-b79c-1a8b574f80f7
812,ce0a907f-d3dd-41ea-8e63-4ad148a4e574
500,7ebd5674-e6ee-4d54-91a3-d64f4645e4a2
848,d5c4a04c-6560-4f4f-84e8-94efdb802968
330,5575965c-6e9f-4c9e-9380-ce734c6e18b5
232,3d0378eb-d96c-46db-96d6-59b0da1b8b44
735,bb528f2f-8e4a-4568-9550-47cd65968ba1
223,3b17fd9e-5fc7-4baa-a847-5bd4bad93d17
979,fc53115b-36e2-4eed-8c60-41f9ef1c158d
396,66281a6d-3257-47d1-9c29-a4a0420da33c
924,eb4818e7-d9a1-4ccd-9d9a-ed2621cb16d0
460,75035676-898e-4547-82a6-013cb050b6ed
836,d1cc77b1-30a6-45bd-ba56-ab7e8118b87b
724,b909bcf4-beb0-4482-b498-7a75d9f7cbea
769,c5143dbb-128a-4247-b191-ff179f430f7b
553,8a586c4f-d7b6-4640-ba4d-b7613d8dfcad
298,4f1c0022-f8c8-42cc-8143-3ff2ae50de2d
226,3bad372c-8df7-4db2-a850-ab2cabcf107a
17,047aa0be-dc0b-4a80-9d90-fa1adfaf955a
950,f354056a-3a82-4cb3-a63e-df234519fd11
347,5a19d0fd-04ef-4b29-ae5f-acf178d22d74
865,db4cd24e-874e-472f-9df8-9a037612c4b2
